Sample	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
1234N_1234N_M6_R2	25.414893617	30.5212765957	30.6276595745	29.670212766	30.0744680851	30.0	30.3617021277	30.670212766	30.4255319149	30.5585106383	31.0904255319	30.9308510638	31.1010638298	31.4787234043	31.2765957447	31.8031914894	31.6755319149	31.6861702128	31.5904255319	31.8563829787	31.7021276596	30.8670212766	31.7712765957	31.3244680851	32.2127659574	32.0691489362	31.579787234	32.3882978723	32.085106383	32.3457446809	32.1063829787	32.1329787234	31.8989361702	31.9361702128	32.1276595745	32.170212766	32.2819148936	32.4787234043	32.1968085106	32.5053191489	32.4946808511	32.170212766	32.0053191489	32.1861702128	31.5904255319	32.0	31.9308510638	31.9946808511	31.8670212766	31.9255319149	31.664893617	31.4521276596	31.2606382979	31.2074468085	30.7287234043
1234N_1234N_M7_R1	32.2911392405	31.4936708861	32.7088607595	31.6329113924	33.0506329114	33.2784810127	33.3670886076	31.5316455696	33.7848101266	33.5253164557	30.7278481013	33.4303797468	32.1075949367	33.7215189873	33.7911392405	33.4493670886	33.7215189873	33.7784810127	33.8544303797	33.9683544304	33.6265822785	33.7848101266	33.8987341772	32.9620253165	33.8987341772	33.5759493671	33.9936708861	34.0126582278	33.2658227848	31.0189873418	33.2848101266	34.1708860759	34.2088607595	33.1708860759	33.9240506329	32.9936708861	33.7405063291	34.2784810127	34.0	34.1455696203	33.6392405063	34.0253164557	33.9050632911	34.1202531646	33.7341772152	34.0443037975	34.0632911392	34.0949367089	34.1708860759	33.8481012658	33.0316455696	32.7405063291	31.6708860759	32.0759493671	31.9430379747
1234N_1234N_M7_R2	26.417721519	30.3544303797	30.7594936709	29.8227848101	30.1012658228	29.8987341772	30.2278481013	29.8481012658	30.0632911392	30.4873417722	30.7278481013	29.9303797468	30.5316455696	30.4620253165	31.3607594937	30.9746835443	31.1329113924	31.4620253165	30.9683544304	31.2594936709	28.2721518987	30.0569620253	30.6139240506	30.4556962025	30.7974683544	30.664556962	31.0696202532	30.9050632911	31.1329113924	31.1075949367	31.2215189873	31.0886075949	30.7151898734	29.664556962	31.2088607595	30.8987341772	31.1392405063	31.3860759494	30.9810126582	30.8607594937	31.0063291139	31.0316455696	30.6392405063	30.746835443	30.5759493671	30.7848101266	30.6708860759	30.5569620253	30.1202531646	29.4683544304	29.7784810127	29.4556962025	29.5696202532	28.7088607595	28.0759493671
9876T_9876T_M1_R1	30.6356321839	32.4172413793	34.024137931	34.3034482759	34.2448275862	34.9	34.5689655172	35.0436781609	32.9770114943	34.924137931	35.0195402299	35.1247126437	35.0247126437	35.1442528736	34.8873563218	34.9166666667	33.6172413793	35.1189655172	35.016091954	34.8672413793	34.9126436782	34.825862069	34.9103448276	34.8626436782	34.2637931034	34.9879310345	34.7706896552	34.9114942529	34.5844827586	34.8586206897	34.8471264368	34.9155172414	34.9982758621	34.8954022989	34.817816092	34.867816092	34.6379310345	34.6775862069	34.6591954023	34.7287356322	34.7471264368	34.8402298851	34.3022988506	34.5867816092	34.674137931	34.5954022989	34.5752873563	34.2591954023	34.3534482759	34.2287356322	34.2206896552	34.0908045977	33.758045977	32.9810344828	32.5494252874
9876T_9876T_M1_R2	25.2724137931	31.9620689655	32.9954022989	32.4862068966	32.4655172414	32.0965517241	33.2505747126	33.2643678161	30.832183908	33.2913793103	33.2902298851	33.4132183908	33.633908046	33.3545977011	33.6902298851	33.3551724138	33.3867816092	33.6356321839	33.8040229885	33.4931034483	33.5649425287	33.7626436782	32.8212643678	33.5597701149	33.2856321839	33.4747126437	33.5281609195	33.4	32.3810344828	32.5977011494	33.5488505747	33.482183908	33.6229885057	33.6091954023	33.6471264368	33.6293103448	33.5672413793	33.5626436782	33.6563218391	33.6718390805	33.4793103448	33.5379310345	33.4637931034	33.6655172414	33.4787356322	33.4517241379	33.3477011494	33.3051724138	32.9448275862	33.1563218391	33.0091954023	32.724137931	30.8747126437	31.7229885057	31.1827586207
9876T_9876T_M2_R1	30.8035043805	32.0425531915	33.9824780976	34.2340425532	34.8110137672	34.7409261577	34.6633291615	34.5819774718	34.3279098874	34.6157697121	34.8785982478	35.0644555695	34.4023779725	35.1445556946	35.167709637	35.1101376721	35.134543179	34.8498122653	34.8235294118	32.8992490613	35.0600750939	34.9662077597	34.9142678348	34.9067584481	34.3216520651	34.9693366708	34.8279098874	34.9874843554	34.9411764706	34.9311639549	35.0957446809	35.1545682103	35.0675844806	35.1214017522	35.1270337922	34.7709637046	34.9493116395	34.978097622	34.8091364205	34.892991239	34.9555694618	34.9217772215	34.8197747184	34.9818523154	34.8041301627	34.2121401752	34.8178973717	34.5838548185	34.7140175219	34.458698373	34.3391739675	34.1464330413	33.8091364205	33.1038798498	32.5181476846
9876T_9876T_M2_R2	25.2077596996	32.5018773467	33.1714643304	32.717146433	32.6470588235	33.0788485607	32.8272841051	33.2428035044	32.4080100125	33.0944931164	33.4818523154	32.8166458073	33.5075093867	33.7734668335	33.3279098874	33.7140175219	33.6508135169	33.9530663329	33.8829787234	33.7984981227	33.6326658323	32.3441802253	33.8504380476	33.2647058824	33.6376720901	33.2509386733	33.670212766	33.1051314143	33.6489361702	33.5607008761	33.6188986233	33.8579474343	33.7709637046	33.7959949937	33.7909887359	32.6595744681	33.6595744681	33.7065081352	33.8748435544	33.7853566959	33.6439299124	33.8097622028	33.6170212766	33.6170212766	33.4249061327	33.2052565707	33.3235294118	32.6464330413	33.2215269086	32.8710888611	32.7790988736	32.2327909887	32.1107634543	31.4518147685	30.7215269086
9876T_9876T_M3_R1	30.9103030303	32.4509090909	34.0145454545	34.4896969697	34.7648484848	34.8181818182	34.8933333333	34.3951515152	33.7793939394	34.5636363636	35.0333333333	34.5448484848	34.8993939394	35.1175757576	34.9957575758	35.0987878788	34.8612121212	34.9442424242	34.9896969697	34.8509090909	34.3933333333	34.7945454545	34.7503030303	34.9575757576	34.863030303	34.9272727273	34.9066666667	34.8678787879	34.7606060606	34.7406060606	34.8909090909	35.0266666667	34.9527272727	35.0309090909	34.9866666667	34.9133333333	34.976969697	34.9236363636	34.6593939394	34.9381818182	34.9860606061	34.5890909091	34.9854545455	35.0133333333	34.5	34.7945454545	34.6593939394	34.5175757576	34.6145454545	34.1836363636	34.2727272727	34.0375757576	33.7751515152	33.3660606061	33.0036363636
9876T_9876T_M3_R2	25.5757575758	32.6072727273	32.896969697	32.5551515152	32.7551515152	32.9236363636	31.8775757576	33.3139393939	33.0436363636	32.8296969697	33.5212121212	32.9666666667	33.6151515152	33.5551515152	31.3448484848	33.6648484848	33.5066666667	33.6993939394	33.5775757576	33.4157575758	33.6418181818	33.1290909091	33.3345454545	33.6515151515	33.5709090909	33.4733333333	33.3896969697	33.3321212121	33.6060606061	32.8648484848	33.5575757576	33.2181818182	33.8236363636	33.7048484848	33.0860606061	33.8424242424	33.5557575758	33.56	33.2848484848	33.6696969697	33.2551515152	33.2654545455	33.2927272727	33.4945454545	33.5321212121	33.34	33.2593939394	33.1054545455	32.9715151515	33.0327272727	32.6072727273	32.6793939394	32.3212121212	31.5248484848	31.4472727273
9876T_9876T_M4_R1	30.8683083512	32.4014989293	33.4582441113	34.3640256959	34.8832976445	35.0192719486	34.9143468951	34.9122055675	34.8426124197	34.7473233405	34.7821199143	34.9111349036	34.573875803	35.0144539615	34.7815845824	35.073875803	34.9309421842	35.0198072805	35.067987152	34.9732334047	34.8501070664	34.5968950749	34.2071734475	34.8302997859	34.9946466809	35.0326552463	34.9100642398	35.0358672377	34.8559957173	34.8276231263	34.8356531049	34.9475374732	34.932012848	34.9919700214	34.9223768737	35.034261242	34.8254817987	34.4346895075	34.8094218415	34.6654175589	34.6573875803	34.6953961456	34.7135974304	34.7478586724	34.4213062099	34.76124197	34.300856531	34.4908993576	34.4614561028	34.3447537473	34.375267666	34.3511777302	33.8495717345	33.4946466809	32.7623126338
