,cycles-chameleon-2l-1c-9p-001,cycles-chameleon-1l-2c-9p-001,cycles-chameleon-1l-3c-9p-001,cycles-chameleon-1l-1c-12p-001,cycles-chameleon-2l-2c-9p-001,cycles-chameleon-5l-1c-9p-001,cycles-chameleon-2l-3c-9p-001,cycles-chameleon-2l-1c-12p-001,cycles-chameleon-1l-2c-12p-001,cycles-chameleon-1l-3c-12p-001,cycles-chameleon-10l-1c-9p-001,cycles-chameleon-5l-2c-9p-001,cycles-chameleon-2l-2c-12p-001,cycles-chameleon-5l-3c-9p-001,cycles-chameleon-5l-1c-12p-001,cycles-chameleon-2l-3c-12p-001,cycles-chameleon-10l-2c-9p-001,cycles-chameleon-10l-3c-9p-001,cycles-chameleon-10l-1c-12p-001,cycles-chameleon-5l-2c-12p-001,cycles-chameleon-5l-3c-12p-001
cycles-chameleon-1l-3c-12p-001,,,,,,,,,,0.0,0.005906153908733399,0.006409209505423547,0.0010067546845755671,0.006963018321884933,0.001219884111009454,0.0009153468584574738,0.007565447734801973,0.006998712337254309,0.001651649691005034,0.0016152327906377231,0.011476927103770511
cycles-chameleon-10l-1c-9p-001,,,,,,,,,,,0.0,0.0011225240850902558,0.0035897949513152986,0.010782899121896871,0.0031693518894215502,0.0029606254860854533,0.002091295030946142,0.003316275005563644,0.0017675732024416285,0.0019605055828243482,0.0003525803170623669
cycles-chameleon-5l-2c-9p-001,,,,,,,,,,,,0.0,0.03176124693839459,0.001981936275745265,0.003543443134681992,0.00407778075760574,0.003301832086758308,0.0033034954782377836,0.0026623294814723916,0.001773344022988744,0.002827978420244235
cycles-chameleon-2l-2c-12p-001,,,,,,,,,,,,,0.0,0.006590390476685428,0.0008068774965125314,0.044175107141794276,0.024677846434728798,0.021468944665537174,0.013442370485309977,0.008864092549286693,0.008357839382399146
cycles-chameleon-5l-3c-9p-001,,,,,,,,,,,,,,0.0,0.005317351562721164,0.006797881614113168,0.003214286338067398,0.0009934642792778533,0.00196733833054285,0.0037103924850864526,0.0027120432762288505
cycles-chameleon-5l-1c-12p-001,,,,,,,,,,,,,,,0.0,0.0008028123026576237,0.0064137659631706935,0.020761807585383773,0.015275613376576331,0.009168948898580947,0.0009655809649369097
cycles-chameleon-2l-3c-12p-001,,,,,,,,,,,,,,,,0.0,0.006110101258565759,0.009194625573134389,0.01344670603468422,0.0009029425798381587,0.009170477812324402
cycles-chameleon-10l-2c-9p-001,,,,,,,,,,,,,,,,,0.0,0.01579219875131318,0.011239435773142736,0.004535304627015758,0.003525803170623669
cycles-chameleon-10l-3c-9p-001,,,,,,,,,,,,,,,,,,0.0,0.005651780584309589,0.0054668787205654195,0.030799358904137153
cycles-chameleon-10l-1c-12p-001,,,,,,,,,,,,,,,,,,,0.0,0.00034128021634612175,0.0008636418701515085
