,srasearch-chameleon-10a-005,srasearch-chameleon-10a-003,srasearch-chameleon-10a-004,srasearch-chameleon-10a-002,srasearch-chameleon-20a-005,srasearch-chameleon-20a-003,srasearch-chameleon-20a-001,srasearch-chameleon-20a-004,srasearch-chameleon-20a-002,srasearch-chameleon-30a-002,srasearch-chameleon-30a-004,srasearch-chameleon-30a-005,srasearch-chameleon-30a-001,srasearch-chameleon-30a-003,srasearch-chameleon-40a-005,srasearch-chameleon-40a-003,srasearch-chameleon-40a-002,srasearch-chameleon-40a-001,srasearch-chameleon-40a-004,srasearch-chameleon-50a-004,srasearch-chameleon-50a-003,srasearch-chameleon-50a-001,srasearch-chameleon-50a-002,srasearch-chameleon-50a-005
srasearch-chameleon-30a-002,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.10575278433486382,0.09333419792611393,0.0,0.0,0.09333419792611393,0.012351956051093908,0.09587696178885398,0.11099591693737454,0.03046537616026231,0.0
srasearch-chameleon-30a-004,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.004394935732665433,0.1492337947272036,0.13680892087629884,0.003565702575558747,0.003565702575558747,0.003565702575558747,0.0,0.05558380222992259
srasearch-chameleon-30a-005,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.09333419792611393,0.11817392964672699,0.004394935732665433,0.0995431114058381,0.003565702575558747,0.0,0.045523843002842415,0.003565702575558747,0.11099591693737454
srasearch-chameleon-30a-001,,,,,,,,,,,,,0.0,0.0,0.0,0.004394935732665433,0.0,0.14302123003184092,0.0,0.0,0.0,0.0,0.0,0.045523843002842415
srasearch-chameleon-30a-003,,,,,,,,,,,,,,0.0,0.0,0.004394935732665433,0.09333419792611393,0.0,0.13680892087629884,0.0,0.003565702575558747,0.025464209740823696,0.0,0.045523843002842415
srasearch-chameleon-40a-005,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06565154694780916,0.0,0.0
srasearch-chameleon-40a-003,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
srasearch-chameleon-40a-002,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.10595597849596204,0.0,0.0,0.0,0.0
srasearch-chameleon-40a-001,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05055255885043411
srasearch-chameleon-40a-004,,,,,,,,,,,,,,,,,,,0.0,0.06565154694780916,0.0807613922726611,0.0,0.0,0.0
srasearch-chameleon-50a-004,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
srasearch-chameleon-50a-003,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
srasearch-chameleon-50a-001,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
srasearch-chameleon-50a-002,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
srasearch-chameleon-50a-005,,,,,,,,,,,,,,,,,,,,,,,,0.0
